name;money;skill;cheat;awarness
Invest970;84;11;90;71
Invest12;98;16;72;23
Invest407;89;24;50;52
Invest80;926;54;45;33
Invest475;92;17;96;78
Invest331;901;61;44;84
Invest193;2537;88;76;6
Invest732;749;46;54;87
Invest851;2237;81;95;29
Invest100;57;15;11;27
Invest161;1487;91;41;51
Invest3;444;35;39;17
Invest450;81;17;79;49
Invest902;905;59;13;99
Invest876;1203;57;55;4
Invest638;384;28;4;36
Invest757;436;31;21;53
Invest212;87;8;29;33
Invest519;757;48;43;60
Invest44;1618;77;57;8
Invest37;1406;64;71;73
Invest280;1922;81;77;26
Invest645;724;35;87;41
Invest883;1445;87;22;99
Invest764;65;5;91;64
Invest324;96;22;67;80
Invest73;626;42;34;48
Invest388;2685;85;98;38
Invest269;1157;54;63;88
Invest808;409;31;39;14
Invest609;1211;63;86;90
Invest700;1616;79;59;42
Invest796;566;40;23;8
Invest963;597;42;13;93
Invest652;684;43;81;45
Invest587;488;33;50;72
Invest276;82;10;23;85
Invest414;859;55;20;8
Invest594;503;38;2;68
Invest526;1649;96;43;69
Invest995;577;34;4;41
Invest725;1186;73;37;23
Invest934;1123;68;6;7
Invest237;69;20;15;26
Invest558;310;27;50;21
Invest69;1193;76;15;10
Invest302;489;37;15;45
Invest927;1436;67;53;33
Invest186;576;37;86;42
Invest613;67;8;73;68
Invest436;1229;57;79;71
Invest562;1103;65;36;89
Invest812;768;38;89;89
Invest125;911;63;24;1
Invest501;41;14;17;29
Invest847;855;53;40;79
Invest298;1388;86;32;93
Invest674;78;16;81;45
Invest363;452;30;33;48
Invest385;1408;51;86;40
Invest251;1545;94;45;59
Invest122;1203;57;85;96
Invest215;1258;71;32;70
Invest837;416;40;35;36
Invest359;1415;87;10;24
Invest684;1387;86;19;92
Invest164;47;5;66;61
Invest735;2044;78;81;93
Invest718;1092;68;31;22
Invest667;2919;100;59;85
Invest880;1362;58;75;9
Invest241;1700;92;1;2
Invest761;712;43;53;94
Invest786;862;53;47;55
Invest949;2997;98;76;34
Invest353;2605;93;81;21
Invest404;1628;73;85;33
Invest41;1709;100;24;11
Invest691;83;4;19;54
Invest208;1884;78;62;11
Invest273;1667;67;54;35
Invest703;1118;69;25;52
Invest327;650;47;50;95
Invest196;2163;81;97;48
Invest98;2320;80;83;41
Invest572;344;25;32;97
Invest533;2033;74;75;81
Invest742;332;27;12;78
Invest366;1505;92;26;14
Invest988;1238;77;22;84
Invest779;1049;65;11;38
Invest392;730;41;45;99
Invest869;696;44;48;92
Invest959;721;40;58;33
Invest183;1506;63;78;69
Invest443;487;43;13;10
Invest460;307;21;80;74
Invest439;1121;75;18;7
Invest610;60;4;88;4
Invest540;1420;93;18;55
Invest606;95;14;70;23
Invest516;557;41;16;84
Invest157;71;1;92;87
Invest76;78;20;71;29
Invest529;275;24;12;26
Invest905;1074;50;53;47
Invest815;61;22;31;11
Invest966;74;21;67;30
Invest234;756;51;1;99
Invest349;94;21;45;32
Invest15;2396;90;67;17
Invest179;3845;97;91;82
Invest992;482;28;61;8
