name;money;skill;cheat;awarness
Invest970;1264;77;25;18
Invest407;789;51;16;36
Invest475;1194;54;77;54
Invest902;1204;73;13;59
Invest594;1219;69;34;83
Invest732;571;31;93;15
Invest851;93;6;30;71
Invest995;1675;88;7;98
Invest80;816;47;19;92
Invest331;2218;100;84;2
Invest927;1247;77;19;2
Invest161;930;53;2;59
Invest3;2424;97;72;53
Invest193;820;45;29;60
Invest388;547;32;32;83
Invest808;1521;89;31;7
Invest638;1402;73;5;79
Invest876;1057;61;40;48
Invest37;91;9;34;59
Invest269;765;42;7;83
Invest526;503;37;36;30
Invest609;73;2;53;26
Invest212;99;5;16;75
Invest652;2265;79;87;88
Invest280;1516;95;42;14
Invest324;790;41;80;66
Invest44;908;54;62;3
Invest349;1285;50;97;69
Invest251;1065;59;49;95
Invest276;1534;87;32;45
Invest796;1648;98;22;64
Invest725;1024;62;31;61
Invest450;1151;72;25;23
Invest934;1035;57;2;80
Invest558;1658;98;32;13
Invest125;2282;93;94;28
Invest69;903;56;31;43
Invest237;1277;58;73;50
Invest812;916;60;24;37
Invest757;2723;99;70;75
Invest847;78;13;21;92
Invest298;1624;90;47;97
Invest385;87;9;45;92
Invest122;433;27;48;49
Invest540;39;10;18;13
Invest718;1334;73;48;85
Invest404;809;43;74;56
Invest949;1712;86;60;16
Invest208;96;10;48;5
Invest703;81;13;7;26
Invest98;87;15;25;28
Invest572;998;51;59;88
Invest742;1491;88;33;35
Invest234;1429;58;91;20
Invest366;95;13;45;55
Invest460;89;14;47;41
Invest76;547;33;85;48
Invest815;301;17;17;60
Invest606;2467;98;72;28
Invest883;96;1;46;91
Invest988;859;40;74;91
Invest6;97;3;49;1
Invest779;97;2;84;15
Invest482;1607;90;19;57
Invest628;1731;96;11;52
Invest555;1381;79;49;62
Invest54;215;20;11;54
Invest696;1029;56;75;34
Invest305;1635;73;53;65
Invest722;97;7;68;19
Invest577;1825;82;81;16
Invest176;315;16;91;66
Invest738;1057;53;58;35
Invest63;90;10;34;57
Invest135;1695;69;99;22
Invest857;77;15;20;63
Invest946;1435;82;17;44
Invest375;959;62;4;16
Invest247;472;33;27;17
Invest648;801;48;12;15
Invest341;1239;52;61;98
Invest103;87;13;77;66
Invest353;681;42;67;29
Invest886;551;37;48;14
Invest761;1365;74;59;62
Invest662;518;32;4;84
Invest327;403;36;37;13
Invest879;1339;81;18;28
Invest536;212;18;55;44
Invest924;95;16;75;33
Invest774;1527;62;73;84
Invest587;92;17;37;43
Invest600;75;21;99;21
Invest610;504;32;72;15
Invest439;94;1;40;44
Invest951;82;16;11;8
Invest180;98;2;89;55
Invest334;1956;88;53;89
Invest25;1427;72;63;40
Invest308;412;23;45;62
Invest312;85;8;95;63
Invest200;423;26;53;24
Invest745;25;5;52;14
Invest468;31;10;52;26
Invest431;1256;64;68;42
Invest15;892;46;96;6
Invest992;2907;94;86;91
Invest854;368;25;12;10
Invest218;445;34;30;9
Invest449;824;41;53;68
Invest295;1807;78;83;29
Invest478;82;2;84;12
Invest584;604;27;73;93
Invest465;83;17;12;13
Invest472;42;1;96;66
Invest356;96;3;34;28
Invest506;472;26;59;40
Invest88;1031;52;100;33
Invest106;100;4;73;17
Invest831;500;27;45;64
Invest28;57;7;1;85
Invest71;87;1;48;65
Invest382;1408;78;5;100
Invest585;940;54;17;22
Invest748;78;14;42;24
Invest116;1616;91;23;62
Invest177;63;2;92;27
Invest679;75;19;30;36
Invest109;85;12;31;76
Invest979;91;12;61;74
Invest860;1499;87;31;63
Invest810;363;20;77;44
Invest285;1093;50;96;61
Invest148;326;25;51;44
Invest686;71;5;18;3
Invest762;201;15;59;69
Invest1;51;14;22;61
Invest214;1295;51;96;92
Invest402;84;21;73;50
Invest524;1546;59;97;83
Invest835;74;9;39;22
Invest386;267;16;4;92
Invest863;67;11;39;39
Invest957;57;6;23;54
Invest35;1665;92;45;94
Invest138;675;34;66;79
Invest93;687;37;58;57
Invest588;2831;85;90;89
Invest32;769;35;97;75
Invest546;1862;80;61;51
Invest898;400;22;40;87
Invest633;1136;67;49;19
Invest453;1678;91;15;78
Invest243;1746;97;28;15
Invest357;98;5;98;97
Invest733;1625;65;80;57
Invest300;1294;68;40;94
Invest89;1194;63;6;94
Invest383;266;17;28;69
Invest832;486;37;23;63
Invest705;908;52;66;8
Invest221;1531;70;77;62
Invest825;1721;99;31;28
Invest458;470;26;87;50
Invest126;1265;70;22;90
Invest671;95;9;80;37
Invest20;75;15;77;11
Invest919;1413;83;23;60
Invest373;902;41;98;38
Invest971;100;3;55;75
Invest841;100;10;39;43
Invest619;1591;92;44;55
Invest90;863;42;70;45
Invest635;77;17;46;42
Invest518;1571;62;83;48
Invest9;76;1;37;37
Invest303;776;52;73;6
Invest563;1121;71;18;7
Invest297;1694;63;75;83
Invest51;86;13;25;64
Invest698;1112;63;8;45
Invest873;46;7;21;56
Invest736;1620;92;24;84
Invest227;1493;82;2;76
Invest724;94;16;13;42
Invest496;77;14;25;32
Invest943;70;1;24;11
Invest130;98;13;52;40
Invest376;1938;88;74;43
Invest822;86;18;71;11
Invest803;83;9;78;61
Invest541;1454;85;32;21
Invest974;72;8;29;90
Invest411;604;37;34;33
Invest904;403;26;30;7
Invest993;736;35;96;67
Invest38;1050;62;11;37
Invest515;664;41;36;23
Invest64;620;32;81;77
Invest272;91;19;52;42
Invest429;664;30;95;66
Invest294;413;29;25;5
Invest328;1998;84;67;34
Invest921;1666;96;49;42
Invest620;1529;67;57;65
Invest338;581;35;44;12
Invest287;60;6;62;94
Invest714;79;15;7;3
Invest143;1583;89;13;37
Invest663;31;9;90;92
Invest62;927;37;83;81
Invest381;1622;91;33;99
Invest262;1377;80;32;53
Invest569;1253;72;26;74
Invest920;76;13;27;28
Invest789;50;19;88;4
Invest707;97;4;85;10
Invest576;1097;61;28;68
Invest954;734;44;30;81
Invest543;1671;96;16;36
Invest945;406;24;38;89
Invest94;99;3;60;58
Invest833;1161;52;81;26
Invest984;1318;72;64;4
Invest840;1819;74;94;69
Invest399;260;20;35;73
Invest464;98;4;47;95
Invest201;1150;68;18;63
Invest136;1096;44;86;80
Invest624;77;10;33;15
Invest551;64;15;92;54
Invest313;92;1;76;14
Invest335;991;62;19;22
Invest454;96;2;76;34
Invest711;657;27;95;95
Invest309;1495;91;9;12
Invest999;95;2;2;48
Invest223;18;8;28;97
Invest146;2478;96;88;65
Invest753;581;29;82;56
Invest768;93;16;54;16
Invest26;98;3;39;65
Invest656;1416;69;52;47
Invest316;99;1;56;77
Invest955;1062;62;29;31
Invest489;100;4;21;85
Invest30;407;22;97;22
Invest467;906;53;35;17
Invest617;88;5;76;51
Invest410;98;5;32;46
Invest544;924;52;9;48
Invest977;2278;95;55;75
Invest961;398;27;1;16
Invest654;2429;73;91;66
Invest561;1702;97;17;12
Invest553;94;12;55;53
Invest483;1563;87;15;41
Invest389;1238;69;46;73
Invest322;789;45;66;43
Invest621;629;33;30;93
Invest364;497;27;39;96
Invest661;1431;79;3;40
Invest903;72;14;99;71
Invest442;179;15;34;77
Invest396;96;7;71;2
Invest875;97;1;86;86
Invest36;100;4;71;47
Invest994;66;7;57;40
Invest124;66;4;18;24
Invest823;72;6;89;16
Invest763;308;24;73;18
Invest11;88;14;45;40
Invest614;100;2;93;18
Invest850;856;52;31;81
Invest162;1192;69;8;75
Invest84;496;28;24;66
Invest651;2352;92;83;38
Invest413;1018;53;84;53
Invest958;361;21;42;51
Invest935;2883;81;94;93
Invest991;1783;98;21;58
Invest348;2580;92;62;92
Invest301;86;21;85;14
