name;money;skill;cheat;awarness
Invest80;915;46;52;73
Invest71;994;50;98;89
Invest28;1534;77;7;72
Invest45;834;42;45;98
Invest3;275;14;77;77
Invest19;1573;79;9;97
Invest36;134;7;5;62
Invest20;134;7;94;79
Invest78;1891;95;46;66
Invest86;1493;75;52;58
Invest13;854;43;89;49
Invest4;914;46;38;25
Invest79;995;50;82;50
Invest18;955;48;77;92
Invest59;100;1;36;99
Invest37;1794;90;89;89
Invest94;1015;51;72;41
Invest68;1175;59;73;13
Invest47;415;21;54;82
Invest10;1033;52;52;46
Invest85;1073;54;49;27
Invest97;1732;87;29;26
Invest46;100;1;76;86
Invest1;735;37;77;70
Invest84;1693;85;76;13
Invest58;655;33;18;59
Invest49;214;11;83;43
Invest11;100;5;24;88
Invest0;100;3;42;42
Invest7;1455;73;15;92
Invest66;1295;65;96;95
Invest83;675;34;51;21
Invest22;533;27;38;64
Invest24;1895;95;13;17
Invest8;1995;100;24;51
Invest74;1115;56;58;99
Invest51;99;1;51;87
Invest67;894;45;92;17
Invest82;874;44;89;92
Invest40;1395;70;22;21
Invest25;674;34;52;32
Invest75;1054;53;10;39
Invest98;1914;96;33;26
Invest26;974;49;75;50
Invest5;1293;65;69;51
Invest14;1194;60;39;42
Invest89;595;30;15;71
Invest43;100;3;46;58
Invest38;874;44;15;26
Invest17;735;37;59;70
Invest64;494;25;16;38
Invest55;454;23;36;99
Invest91;334;17;90;28
Invest30;1314;66;34;48
Invest27;1872;94;2;19
Invest53;915;46;15;18
Invest6;1755;88;11;72
Invest15;534;27;100;52
Invest65;154;8;89;43
Invest42;1794;90;70;92
Invest77;1055;53;39;52
Invest92;1254;63;75;24
Invest12;1435;72;89;37
Invest54;1914;96;37;20
Invest87;1194;60;29;90
Invest62;534;27;2;26
Invest95;1075;54;47;25
Invest29;1952;98;45;82
Invest63;1455;73;18;91
Invest21;1175;59;39;48
Invest90;1395;70;89;63
Invest44;1615;81;77;38
Invest9;235;12;98;81
Invest73;1154;58;21;71
Invest2;1515;76;13;41
Invest60;435;22;65;7
Invest69;335;17;33;85
Invest72;695;35;26;1
Invest34;855;43;79;52
Invest23;1193;60;62;2
Invest61;1015;51;18;18
Invest35;1935;97;97;19
Invest96;715;36;29;95
Invest33;1954;98;14;37
Invest50;415;21;54;27
Invest99;1374;69;65;15
Invest41;675;34;33;30
Invest32;1914;96;27;54
Invest48;853;43;74;43
Invest93;255;13;76;72
Invest56;1852;93;61;19
Invest52;335;17;52;69
Invest31;1135;57;14;66
Invest76;735;37;72;19
Invest70;635;32;56;39
Invest57;1034;52;90;72
Invest88;254;13;97;40
Invest81;1715;86;63;76
Invest39;1654;83;79;49
Invest16;395;20;95;52
