name;money;skill;cheat;awarness
Invest970;890;60;31;9
Invest450;1662;100;18;1
Invest80;1539;90;16;64
Invest902;833;48;91;15
Invest12;1843;73;66;95
Invest331;1575;93;40;15
Invest3;1242;70;45;83
Invest927;1404;86;8;55
Invest732;1852;98;27;76
Invest995;953;55;52;49
Invest808;2284;94;60;55
Invest851;381;22;74;65
Invest100;1729;99;46;83
Invest161;70;9;2;24
Invest388;1020;46;80;68
Invest757;704;35;95;48
Invest876;1296;53;94;41
Invest638;1144;62;60;30
Invest475;2039;72;93;77
Invest212;390;26;14;29
Invest269;379;22;73;65
Invest37;1540;92;9;39
Invest44;874;43;94;52
Invest280;1011;59;13;72
Invest645;1147;56;77;54
Invest883;982;55;11;91
Invest764;2590;100;100;21
Invest324;407;35;33;9
Invest407;1994;76;83;93
Invest73;1014;53;30;40
Invest609;710;41;60;77
Invest796;990;45;68;99
Invest700;903;47;94;44
Invest587;2558;97;80;74
Invest594;91;9;2;58
Invest652;734;45;26;19
Invest963;1306;71;23;78
Invest414;387;19;74;90
Invest526;1357;55;76;82
Invest959;2989;98;94;57
Invest934;911;45;70;39
Invest869;1200;70;15;30
Invest349;1788;94;14;99
Invest237;952;61;1;11
Invest186;808;42;13;95
Invest69;779;51;21;31
Invest302;1927;80;69;57
Invest812;1886;88;68;31
Invest436;883;46;92;66
Invest501;80;12;41;43
Invest674;523;28;12;96
Invest562;1183;51;92;75
Invest122;76;17;38;27
Invest125;1976;86;100;1
Invest385;63;4;47;53
Invest837;2119;97;78;27
Invest215;2264;87;78;86
Invest558;243;17;11;71
Invest359;1616;89;41;99
Invest276;1617;68;58;68
Invest363;1517;86;4;83
Invest613;1355;75;17;44
Invest251;1139;67;48;69
Invest725;497;35;80;35
Invest298;849;54;26;10
Invest684;3193;96;83;76
Invest718;79;6;85;80
Invest540;1324;72;27;71
Invest847;1366;76;26;100
Invest735;899;43;84;84
Invest667;2196;94;76;58
Invest880;1971;84;71;62
Invest164;99;5;9;31
Invest193;1061;53;64;15
Invest241;1672;79;77;24
Invest519;1924;75;87;56
Invest786;1429;79;75;6
Invest41;300;16;56;82
Invest404;1213;63;48;99
Invest273;1029;63;8;2
Invest703;650;44;29;4
Invest196;955;63;41;1
Invest327;423;22;93;70
Invest98;297;20;52;23
Invest691;1028;42;77;100
Invest949;829;41;94;50
Invest353;1212;56;54;99
Invest533;1707;96;35;27
Invest761;1262;62;67;69
Invest572;362;22;63;55
Invest988;919;42;92;50
Invest208;603;30;98;64
Invest779;359;27;13;50
Invest76;718;47;34;27
Invest460;528;29;20;98
Invest516;503;30;24;51
Invest443;1738;88;53;51
Invest439;983;53;15;61
Invest815;2116;97;74;67
Invest606;83;15;28;50
Invest157;1193;76;36;40
Invest234;283;18;77;82
Invest529;1045;53;57;8
Invest610;1305;51;90;59
Invest742;1072;61;34;71
Invest366;680;36;36;98
Invest392;91;19;74;3
Invest905;1495;95;11;43
Invest370;90;12;31;74
Invest183;2176;100;71;58
Invest421;773;52;16;14
Invest15;60;7;41;7
Invest6;1585;86;42;96
Invest478;575;31;37;89
Invest118;100;1;52;89
Invest966;25;8;35;73
Invest931;764;49;46;5
Invest854;3275;95;90;93
Invest509;62;7;93;36
Invest555;69;7;37;46
Invest628;838;49;17;80
Invest992;672;49;34;47
Invest482;514;25;73;83
Invest417;1618;91;50;72
Invest449;494;30;10;53
Invest305;806;45;19;83
Invest179;1034;60;18;1
Invest568;79;12;74;62
Invest151;100;2;34;74
Invest54;1881;86;56;58
Invest424;1268;70;24;79
Invest969;1521;70;90;45
Invest893;1089;62;51;21
Invest834;269;14;75;89
Invest722;1530;79;90;22
Invest577;622;40;70;30
Invest696;1608;93;5;56
Invest176;1778;87;58;23
Invest95;284;19;48;55
Invest790;1080;70;47;10
Invest715;1446;86;23;72
Invest288;41;1;34;33
Invest584;414;26;15;43
Invest630;45;17;12;41
Invest857;976;53;45;98
Invest465;644;37;67;62
Invest603;576;33;34;91
Invest18;1074;64;23;28
Invest738;83;10;6;90
Invest401;75;3;67;80
Invest375;10;7;87;90
Invest898;98;2;42;41
Invest946;866;49;14;71
Invest648;62;3;99;54
Invest861;100;15;70;13
Invest550;96;1;63;65
Invest513;1262;57;84;77
Invest662;98;6;21;65
Invest341;2936;100;87;85
Invest247;2304;81;91;36
Invest63;1482;92;22;4
Invest59;715;39;23;69
Invest199;802;47;61;72
Invest22;1188;70;49;42
Invest259;678;31;100;98
Invest47;1627;65;98;50
Invest924;1428;54;89;71
Invest886;628;48;52;44
Invest708;1746;74;65;60
Invest337;1943;89;90;5
Invest951;1252;76;16;40
Invest263;933;44;87;60
Invest312;839;54;30;26
Invest497;1051;63;4;68
Invest135;1657;96;12;52
Invest536;79;2;54;7
Invest103;1587;89;20;73
Invest802;1009;56;28;93
Invest973;100;3;61;90
Invest774;1037;66;37;63
Invest266;1697;63;89;91
Invest625;85;8;40;3
Invest360;1113;52;55;73
Invest147;1279;82;14;34
Invest633;1111;70;30;9
Invest600;53;1;79;48
Invest427;79;18;97;37
Invest472;100;3;7;72
Invest0;1789;76;72;64
Invest225;320;25;40;2
Invest864;1707;99;2;31
Invest879;1372;78;16;42
Invest66;1298;77;24;53
Invest890;895;46;80;39
Invest539;742;37;82;74
Invest565;863;49;32;91
Invest128;1681;99;33;9
Invest51;534;33;65;53
Invest771;1457;83;27;15
Invest998;80;15;94;4
Invest446;1049;63;47;83
Invest334;523;30;54;52
Invest752;1509;80;67;22
